input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is of a pet care category and the business is based in london,output: London pet influencer
input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is of a pet care category and the business is based in london,output: Nigerian security professionals influencer's instagram
input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is of a smart phone category and the business is based in China hoping to expand the brand is focused on ecofriendly nature,Chinese influencer eco-friendly smartphone brand ambassador instagram
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the fashion category, based in Italy, focused on luxury products and sustainability.",output: luxury fashion brand ambassador Italy sustainability
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the fitness category, based in the US, focused on health and wellness.",output: fitness brand ambassador US health wellness
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the beauty and skincare category, based in South Korea, focused on organic ingredients.",output: organic skincare brand ambassador South Korea beauty
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the tech category, based in Silicon Valley, focused on innovation and user experience.",output: tech startup brand ambassador Silicon Valley innovation
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the food and beverage category, based in Australia, focused on plant-based products.",output: plant-based food brand ambassador Australia
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the travel and tourism category, based in Spain, focused on sustainable tourism.",output: sustainable tourism brand ambassador Spain travel
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the automotive category, based in Germany, focused on electric vehicles.",output: electric vehicle brand ambassador Germany automotive
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the luxury watch category, based in Switzerland, focused on precision and craftsmanship.",output: luxury watch brand ambassador Switzerland craftsmanship
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the home goods category, based in Canada, focused on sustainable living.",output: sustainable home goods brand ambassador Canada
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the pet product category, based in the UK, focused on eco-friendly pet supplies.",output: eco-friendly pet product ambassador UK brand
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the sports apparel category, based in the US, focused on performance wear."," output: performance wear brand ambassador for US sports apparel

"
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the luxury footwear category, based in Italy, focused on craftsmanship and quality."," output: luxury footwear brand ambassador for Italy craftsmanship

"
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the home cleaning products category, based in Canada, focused on eco-friendly solutions.",output: eco-friendly cleaning products brand ambassador Canada
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the health supplements category, based in the US, focused on natural ingredients.",output: natural health supplements brand ambassador US
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the children's clothing category, based in the UK, focused on organic cotton.",output: children's clothing brand ambassador UK organic cotton
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the craft beer category, based in Belgium, focused on unique brews.",output: craft beer brand ambassador Belgium
"input: I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the smart home category, based in the US, focused on automation.",output: smart home brand ambassador US automation
"I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the organic food category, based in France, focused on healthy living.",output: organic food brand ambassador France healthy living
"I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the smart wearable tech category, based in Japan, focused on innovation.",output: smart wearable tech brand ambassador Japan innovation
"I'm looking for someone to represent my brand help me write a search query for google to make it possible to find a brand ambassador my brand is in the artisanal chocolate category, based in Switzerland, focused on luxury flavors.",output: artisanal chocolate brand ambassador Switzerland luxury
